Client County Name,Estimated Coverage (12+ 1 Dose),Estimated Coverage (12+ Fully),Estimated Coverage (65+ 1 Dose),Estimated Coverage (65+ Fully),Percentage of Population Vaccinated,County Name ,PHR Critical Pop,Latitude (generated),Longitude (generated),FULLY_VACCINATED_CALC,Population 16Up,TOTAL_PEOPLE_CALC
VAL VERDE,0.848585144,0.680318343,0.930601171,77.32%,0.848585144,Val Verde,8,29.7645,-101.0491,26927,36546,33587
VAN ZANDT,0.437621,0.38008202,0.69030013,63.55%,0.437621,Van Zandt,4/5N,32.6033,-95.8351,18258,45216,21022
VICTORIA,0.595077802,0.528448682,0.851791104,80.02%,0.595077802,Victoria,8,28.7954,-96.9415,40346,71388,45433
WALKER,0.540304125,0.462195122,0.780276644,67.90%,0.540304125,Walker,6/5S,30.795,-95.5934,30699,63471,35887
WALLER,0.512547267,0.438853558,0.794683776,71.11%,0.512547267,Waller,6/5S,29.9884,-95.9999,20426,43350,23856
WARD,0.481400891,0.410216558,0.739717618,68.39%,0.481400891,Ward,09-Oct,31.4598,-103.1287,3959,8921,4646
WASHINGTON,0.601163542,0.529928895,0.865889213,78.87%,0.601163542,Washington,7,30.2215,-96.4299,16396,29086,18600
WEBB,0.9999,0.892334625,0.988744846,87.88%,0.9999,Webb,11,27.7332,-99.288,192672,196916,231072
WHARTON,0.622300598,0.527651701,0.825252107,73.97%,0.622300598,Wharton,6/5S,29.299,-96.221,18252,32110,21526
WHEELER,0.479458561,0.418190454,0.72754491,67.17%,0.479458561,Wheeler,1,35.4067,-100.2697,1761,3915,2019
WICHITA,0.526316261,0.465986882,0.835851718,78.68%,0.526316261,Wichita,02-Mar,33.9973,-98.6882,52006,105631,58739
WILBARGER,0.585361407,0.520098441,0.786038827,74.10%,0.585361407,Wilbarger,02-Mar,34.1523,-99.2142,5706,10361,6422
WILLACY,0.771159701,0.660448381,0.886490023,80.37%,0.771159701,Willacy,11,26.4556,-97.7389,11931,16897,13931
WILLIAMSON,0.789144046,0.699353614,0.959755198,87.29%,0.789144046,Williamson,7,30.6541,-97.6352,344924,458433,389209
WILSON,0.594941976,0.526399741,0.803590536,71.44%,0.594941976,Wilson,8,29.1652,-98.0851,22771,40488,25736
WINKLER,0.473553975,0.40968141,0.690871369,63.80%,0.473553975,Winkler,09-Oct,31.8614,-103.0627,2649,5954,3062
WISE,0.459057624,0.40591637,0.73608228,69.21%,0.459057624,Wise,02-Mar,33.2115,-97.6555,23725,54722,26831
WOOD,0.490922731,0.433733433,0.747345733,68.82%,0.490922731,Wood,4/5N,32.7755,-95.3972,17345,38005,19632
YOAKUM,0.531514163,0.451727718,0.778315586,70.57%,0.531514163,Yoakum,1,33.1614,-102.828,3046,6135,3584
YOUNG,0.491240828,0.428637536,0.738208797,67.62%,0.491240828,Young,02-Mar,33.1668,-98.6883,6484,14219,7431
ZAPATA,0.812876163,0.703811782,0.876741693,78.99%,0.812876163,Zapata,11,26.9454,-99.1717,7718,9981,8914
ZAVALA,0.637183741,0.553712153,0.832849681,76.55%,0.637183741,Zavala,8,28.8648,-99.7623,5340,8840,6145
