COVID-19 Vaccinations Equity
Date generated: Mon Oct 04 2021 17:46:26 GMT+0100 (British Summer Time)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Guthrie County,IA ,Low,97.5,52.8,61.2,64.3,90.3
Hamilton County,IA ,Low,97.5,55.6,65.3,68.4,86.8
Hancock County,IA ,Low,97.5,44.4,51.4,54.9,77.7
Hardin County,IA ,Low,97.5,49.7,56.7,59.6,85.2
Harrison County,IA ,Low,97.5,46.1,54.2,57.1,84.8
Henry County,IA ,Low-Mod,97.5,47.7,55.4,58.3,81.2
Howard County,IA ,Low,97.5,46.4,55.2,58.9,85
Humboldt County,IA ,Low,97.5,44.3,52.1,55.8,75.1
Ida County,IA ,Low,97.5,43.6,52.1,56,76.5
Iowa County,IA ,Low,97.5,56.2,66.3,69.4,91.9
Jackson County,IA ,Low,97.5,47.7,55.6,59.1,83.7
Jasper County,IA ,Low-Mod,97.5,51.7,60.2,62.9,82.7
Jefferson County,IA ,Low-Mod,97.5,42.9,47.8,48.8,70
Johnson County,IA ,Low-Mod,97.5,64,74,74.4,96.7
Jones County,IA ,Low,97.5,53,61,63.9,84.3
Keokuk County,IA ,Low,97.5,41.6,49,52.7,77.4
Kossuth County,IA ,Low,97.5,47.2,55,58.6,80.6
Lee County,IA ,Mod-High,97.5,45,52.4,55.1,84.2
Linn County,IA ,Low,97.5,58.5,69,70.6,89.5
Louisa County,IA ,Low-Mod,97.5,46,53.6,56.7,79.6
Lucas County,IA ,Low-Mod,97.5,40.6,47.9,51,71.9
Lyon County,IA ,Low,97.5,36.3,44.4,48.9,79.4
Madison County,IA ,Low,97.5,47.8,56.5,59.4,85.4
Mahaska County,IA ,Low-Mod,97.5,38.5,45.8,49,76.9
Marion County,IA ,Low,97.5,46.8,55.1,58.3,84.8
Marshall County,IA ,Mod-High,97.5,56.3,67.4,70.1,91.9
Mills County,IA ,Low,97.5,48.4,56.7,58.7,81.3
Mitchell County,IA ,Low,97.5,44.2,52.1,55.1,79.6
Monona County,IA ,Low,97.5,48.9,56.7,60.4,81.6
Monroe County,IA ,Low-Mod,97.5,41.1,47.9,51.4,80.4
Montgomery County,IA ,Mod-High,97.5,49.9,58.3,61.8,90
Muscatine County,IA ,Low-Mod,97.5,52.8,63,65.8,87.5
O'Brien County,IA ,Low,97.5,45.3,53.7,57.6,85.2
Osceola County,IA ,Low-Mod,97.5,40.9,47.8,51.8,75.7
Page County,IA ,Low-Mod,97.5,47,53.3,55.8,78.5
Palo Alto County,IA ,Low,97.5,45.4,53.4,57.1,81.5
Plymouth County,IA ,Low,97.5,46.4,55.3,58.8,82.6
Pocahontas County,IA ,Low,97.5,47.4,55.4,59.5,87
Polk County,IA ,Low-Mod,97.5,58.2,69.7,71.4,91.3
Pottawattamie County,IA ,Low-Mod,97.5,49.8,58.8,60.7,81.8
Poweshiek County,IA ,Low,97.5,52,59.6,61.7,81.7
Ringgold County,IA ,Low,97.5,46.1,53.6,57.2,82.2
Sac County,IA ,Low,97.5,47,55.2,59.4,81.3
Scott County,IA ,Low-Mod,97.5,52.1,61.7,63.7,87.3
Shelby County,IA ,Low,97.5,53.5,62.2,66.1,86.9
Sioux County,IA ,Low,97.5,37.1,45.1,49.1,78.6
Story County,IA ,Low,97.5,55.9,62.8,62.9,96
Tama County,IA ,Low-Mod,97.5,55.3,65.5,68.3,89.2
Taylor County,IA ,Low-Mod,97.5,41.9,49.8,53.4,82
Union County,IA ,Low-Mod,97.5,45.6,52.9,56,82.7
Van Buren County,IA ,Low,97.5,37.1,43.7,47,77
Wapello County,IA ,Mod-High,97.5,43.2,50.9,53.6,78.1
Warren County,IA ,Low,97.5,52.2,62.1,64.4,90.2
Washington County,IA ,Low,97.5,50.8,60.7,63.6,85.1
Wayne County,IA ,Low-Mod,97.5,37.3,44.6,48.2,72.8
Webster County,IA ,Low-Mod,97.5,50.9,59.3,62.1,87.2
Winnebago County,IA ,Low,97.5,46.7,54.4,57.5,74.5
Winneshiek County,IA ,Low,97.5,55.3,62.4,64.3,91.3
Woodbury County,IA ,Mod-High,97.5,48.5,58.5,61.3,83.9
Worth County,IA ,Low,97.5,46.3,53.6,56.1,82.6
Wright County,IA ,Low-Mod,97.5,51.1,60.6,63.8,82.5
Allen County,KS ,Low-Mod,93.6,39,45.3,47.8,69.7
Anderson County,KS ,Low,93.6,37.4,44.9,48.4,68.8
Atchison County,KS ,Low-Mod,93.6,38.9,45.5,47.5,78.2
Barber County,KS ,Low-Mod,93.6,41.3,48.9,52.8,79.3
Barton County,KS ,Mod-High,93.6,37.3,44.1,47,68.6
Bourbon County,KS ,Mod-High,93.6,32.5,39,41.6,62.1
Brown County,KS ,Low-Mod,93.6,52.3,63.1,64.7,86.9
Butler County,KS ,Low-Mod,93.6,40.5,48.3,50.7,72.7
Chase County,KS ,Low-Mod,93.6,39.6,45.4,47.5,60.6
Chautauqua County,KS ,Mod-High,93.6,36.3,41.7,44.4,56
Cherokee County,KS ,Low-Mod,93.6,39.9,46.6,48.8,68.2
Cheyenne County,KS ,Low,93.6,39.7,46.5,49.1,69.8
Clark County,KS ,Low-Mod,93.6,41.7,49.5,52.9,77.6
Clay County,KS ,Low,93.6,50.2,59.3,62.1,83.6
Cloud County,KS ,Low-Mod,93.6,41.3,49,51.7,78.3
Coffey County,KS ,Low,93.6,45.7,53.3,56.3,77.5
Comanche County,KS ,Low,93.6,41.5,49.6,52.8,74.4
Cowley County,KS ,Mod-High,93.6,41.1,48.6,51,71.8
Crawford County,KS ,Mod-High,93.6,41.8,48.8,50.3,75.6
Decatur County,KS ,Low,93.6,35.4,41,43.9,63.3
Dickinson County,KS ,Low-Mod,93.6,46.2,54.2,57.9,74.1
Doniphan County,KS ,Low,93.6,42,48.6,51.1,81.6
Douglas County,KS ,Low,93.6,53.6,60.8,61.1,92.8
Edwards County,KS ,Low-Mod,93.6,41.7,49,52.2,79.2
Elk County,KS ,Low-Mod,93.6,29.4,34.5,36.9,50.8
Ellis County,KS ,Low,93.6,43.1,50.3,52,83.8
Ellsworth County,KS ,Low-Mod,93.6,49,55.6,57.3,75.7
Finney County,KS ,High,93.6,35.8,44.9,47.4,59.1
Ford County,KS ,High,93.6,35.8,45,47.5,76
Franklin County,KS ,Low,93.6,44,51.9,54.7,82.2
Geary County,KS ,Mod-High,93.6,56.1,73.8,76.2,88.3
Gove County,KS ,Low,93.6,43.2,51.4,55.2,74.8
Graham County,KS ,Low,93.6,66,76,81.7,72.7
Grant County,KS ,Low-Mod,93.6,40.3,50.1,53.2,73.2
Gray County,KS ,Low-Mod,93.6,38.1,46.9,51.2,83
Greeley County,KS ,Mod-High,93.6,45.5,55.7,59.7,77
Greenwood County,KS ,Low,93.6,44.1,51.2,54.4,78.6
Hamilton County,KS ,Low-Mod,93.6,32.9,40.9,44.9,55.4
Harper County,KS ,Low-Mod,93.6,41.2,49.3,52.7,71
Harvey County,KS ,Low-Mod,93.6,39.9,47.1,49.1,60.8
Haskell County,KS ,Low-Mod,93.6,32.3,39.3,43,64.7
Hodgeman County,KS ,Low,93.6,40.2,47.3,50.7,62.6
Jackson County,KS ,Low-Mod,93.6,56,66.8,69.5,81.8
Jefferson County,KS ,Low,93.6,47.5,55.2,58.2,82.2
Jewell County,KS ,Low,93.6,40.9,47.4,50,70.4
Johnson County,KS ,Low,93.6,63.8,75.6,77.3,97.1
Kearny County,KS ,Low-Mod,93.6,44.6,55.3,59.8,74.1
Kingman County,KS ,Low,93.6,41.8,48.7,51.8,77.9
Kiowa County,KS ,Low-Mod,93.6,44.3,52.3,55,74.7
Labette County,KS ,Mod-High,93.6,43.6,51.7,53.9,67.8
Lane County,KS ,Low,93.6,37.3,44.1,46.9,73.4
Leavenworth County,KS ,Low,93.6,52,61.7,64.3,84
Lincoln County,KS ,Low,93.6,39.4,45.4,49,71.6
Linn County,KS ,Low-Mod,93.6,31.2,36,38.8,57.1
Logan County,KS ,Low,93.6,41.4,49.6,53.3,87.3
Lyon County,KS ,Mod-High,93.6,49.7,58.1,59.5,84.1
Marion County,KS ,Low,93.6,42.1,48.6,50.6,70.6
Marshall County,KS ,Low,93.6,55.8,66.6,69.8,92
McPherson County,KS ,Low,93.6,46.9,54.9,57.7,83.6
Meade County,KS ,Low-Mod,93.6,34,40.9,43.4,53.3
Miami County,KS ,Low,93.6,41.7,49.3,51.7,73.5
Mitchell County,KS ,Low-Mod,93.6,48.5,57.4,59.8,77.5
Montgomery County,KS ,High,93.6,39.2,46.3,48.7,71.6
Morris County,KS ,Low,93.6,49.2,57.1,58.2,77.1
Morton County,KS ,Low-Mod,93.6,34.2,40.4,42.7,61.1
Nemaha County,KS ,Low,93.6,47.6,58.4,62.4,84.8
Neosho County,KS ,Mod-High,93.6,22.8,27.2,28,34.1
Ness County,KS ,Low,93.6,45.2,52.2,53.9,73.9
Norton County,KS ,Low-Mod,93.6,46.7,53.3,56.1,69.6
Osage County,KS ,Low,93.6,44.3,51.7,54.8,78.9
Osborne County,KS ,Low,93.6,37.5,43.9,46.9,69.8
Ottawa County,KS ,Low,93.6,35.8,41.3,44.2,65
Pawnee County,KS ,Low-Mod,93.6,47.1,52.4,54.6,78.4
Phillips County,KS ,Low,93.6,38.9,45.4,49,71
Pottawatomie County,KS ,Low,93.6,34.2,42.3,44.8,69
Pratt County,KS ,Low-Mod,93.6,42.8,50.8,53.4,72
Rawlins County,KS ,Low,93.6,37.5,44.2,46.1,63.6
Reno County,KS ,Mod-High,93.6,44,51.2,54.1,76.8
Republic County,KS ,Low,93.6,45.7,53.5,56.8,74.1
Rice County,KS ,Low-Mod,93.6,38.3,45.1,47.4,73.7
Riley County,KS ,Low-Mod,93.6,33.4,37.8,37.3,84
Rooks County,KS ,Low,93.6,42.8,49.9,53,72.6
Rush County,KS ,Low,93.6,45,51.6,55.3,77.6
Russell County,KS ,Low,93.6,37.7,44.4,46.8,64.1
Saline County,KS ,Low-Mod,93.6,42.9,50.6,52.6,68.5
Scott County,KS ,Low-Mod,93.6,40.9,49.1,51.8,66.6
Sedgwick County,KS ,Mod-High,93.6,43.3,52.1,54,72.7
Seward County,KS ,High,93.6,38,48.5,52.4,71
Shawnee County,KS ,Mod-High,93.6,53.2,62.7,64.7,85.3
Sheridan County,KS ,Low,93.6,31.7,37.4,40.8,60.4
Sherman County,KS ,Low-Mod,93.6,38.4,46.1,49,74.4
Smith County,KS ,Low,93.6,40.4,46.7,49.4,70.5
Stafford County,KS ,Low-Mod,93.6,39.2,46.4,49.4,70.3
Stanton County,KS ,Low-Mod,93.6,42.9,52.4,55.9,72.3
Stevens County,KS ,Mod-High,93.6,29.7,36.2,39.1,53.9
Sumner County,KS ,Low,93.6,37.1,43.9,46.6,67.8
Thomas County,KS ,Low,93.6,36.7,43.9,46.3,70.2
Trego County,KS ,Low,93.6,35.6,40.2,41.8,49.5
Wabaunsee County,KS ,Low,93.6,41.5,48.8,51.2,74.2
Wallace County,KS ,Low,93.6,33.3,39.9,42.8,61.4
Washington County,KS ,Low,93.6,46.2,54.5,57.5,79.6
Wichita County,KS ,Low-Mod,93.6,44.1,54,57.5,68.5
Wilson County,KS ,Mod-High,93.6,37.9,45,48.3,69.9
Woodson County,KS ,Low-Mod,93.6,37.3,43.3,46.2,66.3
Wyandotte County,KS ,High,93.6,46.7,57.4,59,73.3
Adair County,KY ,Mod-High,94.4,34.3,39.2,41.2,58.6
Allen County,KY ,Mod-High,94.4,36.8,43.4,46,67
Anderson County,KY ,Low-Mod,94.4,55.1,65,67.8,93.2
Ballard County,KY ,Low-Mod,94.4,31.9,36.7,39.3,54
Barren County,KY ,High,94.4,40.1,47.4,49.9,72.9
Bath County,KY ,Mod-High,94.4,47.8,57.5,60.2,86.2
Bell County,KY ,High,94.4,40.8,47.3,50,65.7
Boone County,KY ,Low,94.4,63.2,75.7,79.1,97.7
Bourbon County,KY ,Mod-High,94.4,51.1,59.8,62.1,76.7
Boyd County,KY ,Mod-High,94.4,39.1,45.3,47.3,54.7
Boyle County,KY ,Low-Mod,94.4,54.1,62,63.6,80.5
Bracken County,KY ,Low-Mod,94.4,43,50.6,54.1,83.5
Breathitt County,KY ,High,94.4,43.3,50.3,51.6,69.4
Breckinridge County,KY ,Mod-High,94.4,37.9,44.3,46.7,69
Bullitt County,KY ,Low,94.4,43.2,49.9,51.8,67
Butler County,KY ,High,94.4,40.8,48,50.7,70.2
Caldwell County,KY ,Low-Mod,94.4,44.6,52.4,55.8,77.9
Calloway County,KY ,Low-Mod,94.4,42.1,47.8,49.2,74.8
Campbell County,KY ,Low,94.4,65.8,76.4,78,96.4
Carlisle County,KY ,Low-Mod,94.4,35.7,42.1,45.2,69.5
Carroll County,KY ,High,94.4,43.6,53.2,55.8,79.9
Carter County,KY ,High,94.4,40,46.9,49,63.4
Casey County,KY ,High,94.4,30.7,36.3,38.6,56.5
Christian County,KY ,High,94.4,29.1,36.3,38.3,68.9
Clark County,KY ,Mod-High,94.4,51.2,60,62.1,77.1
Clay County,KY ,High,94.4,37.3,43.3,45.5,65.2
Clinton County,KY ,High,94.4,33.9,39.6,42.4,61.3
Crittenden County,KY ,Low-Mod,94.4,34.9,40.6,43.2,63.2
Cumberland County,KY ,Mod-High,94.4,37.8,44.1,46.3,64.5
Daviess County,KY ,Mod-High,94.4,49.5,59,61.5,80.2
Edmonson County,KY ,Mod-High,94.4,33.4,37.7,38.7,54.3
Elliott County,KY ,Mod-High,94.4,29.8,33.7,34.9,41.6
Estill County,KY ,High,94.4,44,51,53,75.8
Fayette County,KY ,Low-Mod,94.4,63.4,73.7,75,93.2
Fleming County,KY ,High,94.4,44.3,52.6,55.7,82.1
Floyd County,KY ,High,94.4,49.5,57.8,60,74.5
Franklin County,KY ,Mod-High,94.4,69.3,80.3,82.4,99.9
Fulton County,KY ,High,94.4,49,57.3,61.1,98.7
Gallatin County,KY ,Mod-High,94.4,38.1,45.1,47.1,76.6
Garrard County,KY ,Low-Mod,94.4,43.4,50.7,53.3,75.3
Grant County,KY ,Mod-High,94.4,45.7,55.2,58.7,91.3
Graves County,KY ,High,94.4,38.9,46.4,49.3,73.4
Grayson County,KY ,Mod-High,94.4,43.5,51.2,53.9,81.7
Green County,KY ,Mod-High,94.4,37.5,43.2,45.8,66.9
Greenup County,KY ,Low-Mod,94.4,43.3,50.2,52.2,63.3
Hancock County,KY ,Low-Mod,94.4,52.9,62.9,66.3,91.8
Hardin County,KY ,Mod-High,94.4,55.2,65.9,68.5,88.7
Harlan County,KY ,High,94.4,38.7,45.9,48.5,67
Harrison County,KY ,Mod-High,94.4,42.6,49.9,52.5,79.5
Hart County,KY ,High,94.4,30.7,36.7,39.5,64.4
Henderson County,KY ,Mod-High,94.4,43.8,51.4,54.1,78.7
Henry County,KY ,Mod-High,94.4,51.1,60.1,63.4,85.9
Hickman County,KY ,Mod-High,94.4,32.1,36.2,38,55.3
Hopkins County,KY ,Mod-High,94.4,45.9,53.9,56.6,80.6
Jackson County,KY ,Mod-High,94.4,30.2,35.6,37.5,55
Jefferson County,KY ,Mod-High,94.4,59.3,69.5,71.1,84.6
Jessamine County,KY ,Mod-High,94.4,50.3,59.7,61.8,79.7
Johnson County,KY ,High,94.4,42.4,49.4,51.9,70.4
Kenton County,KY ,Low-Mod,94.4,61.4,72.9,75.6,96.3
Knott County,KY ,High,94.4,41.6,47.9,49.2,64.5
Knox County,KY ,High,94.4,31.2,36.8,39.2,56.8
Larue County,KY ,Mod-High,94.4,40.9,47.8,50.7,77.6
Laurel County,KY ,High,94.4,36.2,42.7,45,67.1
Lawrence County,KY ,High,94.4,38.7,46.1,48.2,68.3
Lee County,KY ,High,94.4,42.7,48.5,50.2,68.4
Leslie County,KY ,High,94.4,44.8,52.3,55,73
Letcher County,KY ,High,94.4,46,53.7,55.9,71.6
Lewis County,KY ,Mod-High,94.4,32.3,37.6,39.8,61
Lincoln County,KY ,Mod-High,94.4,37,43.9,46,67.3
Livingston County,KY ,Low-Mod,94.4,43.1,49.7,52.6,77.2
Logan County,KY ,Mod-High,94.4,45.8,54.3,57.4,82.6
Lyon County,KY ,Low-Mod,94.4,52.6,57.6,59.7,74.6
Madison County,KY ,Low-Mod,94.4,44.9,51.9,53.4,75.3
Magoffin County,KY ,High,94.4,43.3,50.6,52.9,72.3
Marion County,KY ,High,94.4,48,57,60.1,85.6
Marshall County,KY ,Low-Mod,94.4,47.8,55,58.1,82.9
Martin County,KY ,High,94.4,45.4,51.8,54.1,64
Mason County,KY ,Mod-High,94.4,46.5,54.9,57.9,83.2
McCracken County,KY ,Low-Mod,94.4,49.1,57.6,60.4,80.9
McCreary County,KY ,High,94.4,36.4,42.3,45,63.7
McLean County,KY ,Low-Mod,94.4,44.8,52.6,56.1,78.5
Meade County,KY ,Low-Mod,94.4,37.1,43.2,45.3,70.6
Menifee County,KY ,Mod-High,94.4,40.2,45.5,47.6,64
Mercer County,KY ,Low-Mod,94.4,51.2,59.9,62.6,86.4
Metcalfe County,KY ,Mod-High,94.4,33.8,40,42.5,62.3
Monroe County,KY ,Mod-High,94.4,39.7,46.9,49.6,73.2
Montgomery County,KY ,High,94.4,44.3,52.4,53.9,76.4
Morgan County,KY ,High,94.4,42.6,47.9,49.5,61.6
Muhlenberg County,KY ,Mod-High,94.4,44.6,51.4,53.5,73.1
Nelson County,KY ,Low-Mod,94.4,51.9,61.4,63.7,88.6
Nicholas County,KY ,High,94.4,46.7,55.5,58.7,93.9
Ohio County,KY ,Mod-High,94.4,34.5,40.7,43.5,65.3
Oldham County,KY ,Low,94.4,53.8,63.5,65.5,83.9
Owen County,KY ,Mod-High,94.4,33.7,39,40.3,59.1
Owsley County,KY ,High,94.4,39.4,46.4,48.4,67.8
Pendleton County,KY ,Low-Mod,94.4,40.7,47.7,50,82.4
Perry County,KY ,High,94.4,53.5,63.3,66.1,86.2
Pike County,KY ,High,94.4,45.9,52.9,54.8,68
Powell County,KY ,High,94.4,46.8,55.7,58.4,84.3
Pulaski County,KY ,Mod-High,94.4,42.3,49.5,51.7,73.5
Robertson County,KY ,Low-Mod,94.4,34.1,39.5,40.9,54.4
Rockcastle County,KY ,High,94.4,32.6,37.6,40.1,58.8
Rowan County,KY ,High,94.4,45.6,52.6,53.7,82.3
Russell County,KY ,High,94.4,41.2,48.7,51.4,70.6
Scott County,KY ,Low-Mod,94.4,56.9,68,69.9,95.8
Shelby County,KY ,Low-Mod,94.4,45.7,53.6,54.9,73.4
Simpson County,KY ,Low-Mod,94.4,46.3,54.9,57.9,83.6
Spencer County,KY ,Low,94.4,27.8,32.4,32.9,42.2
Taylor County,KY ,Mod-High,94.4,46.6,55,57.1,81.1
Todd County,KY ,High,94.4,35.2,42.5,46.1,69.4
Trigg County,KY ,Low-Mod,94.4,41.2,47.6,50.6,72
Trimble County,KY ,Mod-High,94.4,40.2,46.7,48.6,66.2
Union County,KY ,Mod-High,94.4,35.3,39.9,41.8,78.4
Warren County,KY ,Mod-High,94.4,41.7,49.2,50.4,68.9
Washington County,KY ,Mod-High,94.4,47.5,56.1,59.2,80.4
Wayne County,KY ,Mod-High,94.4,35.1,40.6,42.5,54.7
Webster County,KY ,High,94.4,40.5,48,50.8,77.3
Whitley County,KY ,High,94.4,38.3,46.3,49.2,81.4
Wolfe County,KY ,High,94.4,46,53.9,56.6,74.7
Woodford County,KY ,Low,94.4,67.1,78.1,79.9,92.3
Acadia Parish,LA ,High,96.6,45.9,55.1,59.1,89.2
Allen Parish,LA ,High,96.6,31,36.5,38.8,58
Ascension Parish,LA ,Low-Mod,96.6,43.6,52.8,55.3,82
Assumption Parish,LA ,High,96.6,37.2,43,45.3,67.1
Avoyelles Parish,LA ,High,96.6,39,46.3,48.5,68.4
Beauregard Parish,LA ,Mod-High,96.6,28.3,33.9,36.4,61.6
Bienville Parish,LA ,High,96.6,40.7,47.6,50.8,74.6
Bossier Parish,LA ,Mod-High,96.6,39.6,47.5,50,73.6
Caddo Parish,LA ,High,96.6,41,48.7,50.9,75
Calcasieu Parish,LA ,Mod-High,96.6,36,43.3,45.7,71.7
Caldwell Parish,LA ,High,96.6,33.2,39.1,41.7,70
Cameron Parish,LA ,Low-Mod,96.6,15.5,18.1,19.6,29.5
Catahoula Parish,LA ,High,96.6,35,40.5,42.7,72.7
Claiborne Parish,LA ,High,96.6,35.9,40.8,42.3,65.3
Concordia Parish,LA ,High,96.6,34.6,41.1,42.8,59.5
De Soto Parish,LA ,High,96.6,35.5,41.9,44.3,67.8
East Baton Rouge Parish,LA ,Mod-High,96.6,48.6,57.4,59.3,89.1
East Carroll Parish,LA ,High,96.6,38.9,46.3,48.7,81.8
East Feliciana Parish,LA ,High,96.6,35.7,40.3,41.7,65.9
Evangeline Parish,LA ,High,96.6,32.8,39.3,41.5,62.9
Franklin Parish,LA ,High,96.6,32.2,38.7,41.8,63.7
Grant Parish,LA ,Mod-High,96.6,36.8,42.7,45.2,67.3
Iberia Parish,LA ,High,96.6,39.7,47.9,50.5,77
Iberville Parish,LA ,High,96.6,48.4,56,57.8,84.1
Jackson Parish,LA ,High,96.6,36.2,42,44.9,58.9
Jefferson Davis Parish,LA ,High,96.6,31.5,37.8,40.6,64.5
Jefferson Parish,LA ,Mod-High,96.6,56.5,66.4,68.4,86.8
Lafayette Parish,LA ,Mod-High,96.6,43.6,51.9,53.8,79.8
Lafourche Parish,LA ,High,96.6,38.6,45.5,47.7,68
LaSalle Parish,LA ,High,96.6,35.9,42.1,45.2,65.1
Lincoln Parish,LA ,High,96.6,36.9,42.5,44.2,79.6
Livingston Parish,LA ,Low-Mod,96.6,34.2,41,43.6,73.1
Madison Parish,LA ,High,96.6,36.3,43.3,45.5,69.7
Morehouse Parish,LA ,High,96.6,38.6,46.1,49.1,73.8
Natchitoches Parish,LA ,High,96.6,36.5,43.1,45.4,70.7
Orleans Parish,LA ,Mod-High,96.6,59.8,69.1,70.8,86.1
Ouachita Parish,LA ,High,96.6,38.8,46.4,48.8,76.7
Plaquemines Parish,LA ,Mod-High,96.6,52,62.6,65.4,82.5
Pointe Coupee Parish,LA ,High,96.6,48.9,56.9,59.2,77.5
Rapides Parish,LA ,High,96.6,42.3,50.5,53.1,79.3
Red River Parish,LA ,High,96.6,31.1,36.8,38.7,56.9
Richland Parish,LA ,High,96.6,37.6,44.4,47.2,74
Sabine Parish,LA ,High,96.6,31.4,36.8,39.8,62
St. Bernard Parish,LA ,High,96.6,40.7,49.5,52,77.3
St. Charles Parish,LA ,Low-Mod,96.6,47.9,56.7,59.5,88.2
St. Helena Parish,LA ,High,96.6,26.8,30.9,31.5,42.6
St. James Parish,LA ,Mod-High,96.6,44,51.8,54.1,67.9
St. John the Baptist Parish,LA ,Mod-High,96.6,50.2,59.6,62.5,86.1
St. Landry Parish,LA ,High,96.6,35.6,43.3,45.5,63.8
St. Martin Parish,LA ,High,96.6,35,41.7,43.5,67.3
St. Mary Parish,LA ,High,96.6,38.8,46.3,49.1,73.8
St. Tammany Parish,LA ,Low-Mod,96.6,49.9,58.7,61.9,87.2
Tangipahoa Parish,LA ,High,96.6,39.7,47.7,50,81.1
Tensas Parish,LA ,High,96.6,54.2,63.5,66.9,78
Terrebonne Parish,LA ,High,96.6,38.4,46.1,49,78.6
Union Parish,LA ,High,96.6,39.9,46.3,48.6,69.9
Vermilion Parish,LA ,High,96.6,32.7,39.1,41.8,62.8
Vernon Parish,LA ,Mod-High,96.6,42.4,51.5,54.3,78
Washington Parish,LA ,High,96.6,36,42.6,45.3,69.6
Webster Parish,LA ,High,96.6,37,43.5,45.7,70
West Baton Rouge Parish,LA ,High,96.6,46.8,56,58,80.4
West Carroll Parish,LA ,Mod-High,96.6,36.4,42.3,45.6,79.8
West Feliciana Parish,LA ,Mod-High,96.6,80.1,89.8,92.3,99.9
Winn Parish,LA ,High,96.6,38.9,44.9,47.8,68.3
Androscoggin County,ME ,Mod-High,96.4,59.7,69.7,71.4,87
Aroostook County,ME ,Mod-High,96.4,60.1,68.1,69.9,83.1
Cumberland County,ME ,Low,96.4,76,86.1,86.8,96.1
Franklin County,ME ,Low,96.4,55.8,63,64.6,85.9
Hancock County,ME ,Low,96.4,67.6,75.8,77.4,90.6
Kennebec County,ME ,Low-Mod,96.4,61.6,70.3,72,88.3
Knox County,ME ,Low,96.4,73.6,82.7,84.6,98.1
Lincoln County,ME ,Low,96.4,71.2,79.9,81.1,96.4
Oxford County,ME ,Low-Mod,96.4,58.5,65.9,67.6,84.1
Penobscot County,ME ,Low-Mod,96.4,61.9,69.9,71.4,88.4
Piscataquis County,ME ,Low-Mod,96.4,55.1,61.4,63.2,79.5
Sagadahoc County,ME ,Low,96.4,68.5,77.9,79.2,94.7
Somerset County,ME ,Mod-High,96.4,53.4,60.4,62.8,84.2
Waldo County,ME ,Low,96.4,62.4,70.6,72.3,92.4
Washington County,ME ,Mod-High,96.4,62.1,70.5,73,87.7
York County,ME ,Low,96.4,69.8,79.1,80.6,91.4
Allegany County,MD ,Mod-High,98.7,48,54.1,55.9,80.2
Anne Arundel County,MD ,Low,98.7,66.9,78.6,79.6,93.8
Baltimore City,MD ,High,98.7,55,64,65.6,79.3
Baltimore County,MD ,Low-Mod,98.7,62.6,73,74.4,89.1
Calvert County,MD ,Low,98.7,59.5,69.4,70.9,93.1
Caroline County,MD ,Mod-High,98.7,50.6,59.8,62.8,90.2
Carroll County,MD ,Low,98.7,64.7,74.9,76.4,95.4
Cecil County,MD ,Low-Mod,98.7,50.5,59,61.5,85.4
Charles County,MD ,Low,98.7,57,67.2,68.6,90.4
Dorchester County,MD ,High,98.7,52.5,60.8,63.8,84.7
Frederick County,MD ,Low,98.7,66,77.6,78.9,92
Garrett County,MD ,Low,98.7,43.3,48.9,51.4,75
Harford County,MD ,Low,98.7,61.8,72,74.1,92
Howard County,MD ,Low,98.7,73.6,87,87.7,96.9
Kent County,MD ,Low-Mod,98.7,61,67.8,69.3,91.8
Montgomery County,MD ,Low-Mod,98.7,75.8,89.4,89.8,96.1
Prince George's County,MD ,Mod-High,98.7,61,71.9,72.5,85.5
Queen Anne's County,MD ,Low,98.7,58.9,67.9,70.3,88.6
Somerset County,MD ,High,98.7,43.5,49.1,50.8,81.5
St. Mary's County,MD ,Low,98.7,57.3,67.9,69.8,88.6
Talbot County,MD ,Low,98.7,66.4,75.2,77,88.2
Washington County,MD ,Mod-High,98.7,50.5,58.8,60.9,83
Wicomico County,MD ,High,98.7,48.7,56.9,59.1,86.4
Worcester County,MD ,Low-Mod,98.7,63.9,71.7,74,86.7
Barnstable County,MA ,Low,89.6,5,5.5,5.8,6.2
Berkshire County,MA ,Low-Mod,89.6,49.6,55.2,54.9,62.7
Bristol County,MA ,Mod-High,89.6,56,64.4,65.6,78.2
Dukes County,MA ,Low,89.6,3.6,4.1,4.2,3.8
Essex County,MA ,Mod-High,89.6,63.7,73.6,74.2,84.7
Franklin County,MA ,Low,89.6,59.2,66.2,66.7,76.9
Hampden County,MA ,High,89.6,55.9,64.7,66.3,81.2
Hampshire County,MA ,Low,89.6,58,63.4,63,86.1
Middlesex County,MA ,Low,89.6,69.2,79.1,79.3,86.2
Nantucket County,MA ,Low,89.6,1.3,1.5,1.6,2.9
Norfolk County,MA ,Low,89.6,68.2,78.3,78.8,83.6
Plymouth County,MA ,Low,89.6,60,69,70.3,81.6
Suffolk County,MA ,Mod-High,89.6,63.2,71.1,71.7,78.8
Worcester County,MA ,Low-Mod,89.6,59.8,68.9,69.6,81.7
Alcona County,MI ,Low-Mod,94.2,50.9,55.1,57.2,74.2
Alger County,MI ,Low-Mod,94.2,56.3,62.1,64,80.9
Allegan County,MI ,Low,94.2,44.5,52.6,54.9,77.8
